index, time, unrolled, speed, value, x, y
5_3_81,0.000187,206,1.1016e+06,-0.2,1,2
6_3_92,0.000276,297,1.07609e+06,-0.2,1,0
4_5_19,0.019521,28957,1.48338e+06,-0.111111,0,2
6_3_9,0.000265,287,1.08302e+06,-0.2,4,2
4_4_81,0.000739,1138,1.53992e+06,-0.142857,2,2
3_2_78,9e-06,7,777778,-0.333333,0,2
4_4_7,0.001054,1555,1.47533e+06,-0.142857,0,2
5_3_55,0.000191,213,1.11518e+06,-0.2,3,4
6_2_46,1.5e-05,13,866667,-0.333333,1,3
5_2_52,1.4e-05,11,785714,-0.333333,2,3
5_2_96,1.2e-05,11,916667,-0.333333,2,3
2_3_82,1.2e-05,17,1.41667e+06,-0.2,1,1
5_4_36,0.010027,12142,1.21093e+06,-0.142857,3,4
5_4_32,0.015366,18364,1.19511e+06,-0.142857,0,4
3_5_84,0.001686,3289,1.95077e+06,-0.111111,0,2
4_4_97,0.000835,1326,1.58802e+06,-0.142857,0,2
5_2_0,1.1e-05,10,909091,-0.333333,1,3
3_2_47,9e-06,7,777778,-0.333333,0,2
3_2_89,9e-06,7,777778,-0.333333,0,2
4_5_9,0.021778,36779,1.68881e+06,-0.111111,3,1
2_3_75,9e-06,17,1.88889e+06,-0.2,1,1
5_2_3,6e-06,8,1.33333e+06,-0.333333,4,4
5_2_13,7e-06,9,1.28571e+06,-0.333333,1,4
6_2_27,9e-06,11,1.22222e+06,-0.333333,2,4
5_4_28,0.015087,23636,1.56665e+06,-0.142857,3,4
3_4_96,8.4e-05,218,2.59524e+06,-0.142857,0,2
5_2_49,9e-06,11,1.22222e+06,-0.333333,1,3
3_4_51,0.000189,449,2.37566e+06,-0.142857,0,2
5_3_88,8e-05,131,1.6375e+06,-0.2,0,3
2_3_14,8e-06,17,2.125e+06,-0.2,1,1
3_3_11,3e-05,60,2e+06,-0.2,2,2
3_2_7,7e-06,6,857143,-0.333333,1,2
4_2_99,6e-06,8,1.33333e+06,-0.333333,3,3
3_3_87,2.9e-05,61,2.10345e+06,-0.2,2,2
3_2_21,7e-06,7,1e+06,-0.333333,0,2
4_5_82,0.014445,28974,2.00582e+06,-0.111111,0,2
3_5_47,0.001295,3265,2.52124e+06,-0.111111,0,2
6_3_40,0.000212,295,1.39151e+06,-0.2,1,5
3_2_94,9e-06,6,666667,-0.333333,0,2
5_4_35,0.020045,30547,1.52392e+06,-0.142857,0,0
6_3_65,0.000213,297,1.39437e+06,-0.2,3,5
4_3_90,6.2e-05,121,1.95161e+06,-0.2,3,2
4_5_50,0.018737,36768,1.96232e+06,-0.111111,0,2
2_3_36,9e-06,17,1.88889e+06,-0.2,1,1
6_2_74,1e-05,12,1.2e+06,-0.333333,2,3
3_5_46,0.001336,3284,2.45808e+06,-0.111111,0,2
4_4_46,0.000515,1053,2.04466e+06,-0.142857,3,2
2_2_59,4e-06,5,1.25e+06,-0.333333,1,1
3_4_21,0.000187,449,2.40107e+06,-0.142857,0,2
5_4_12,0.008668,13532,1.56114e+06,-0.142857,3,4
6_2_98,1.1e-05,12,1.09091e+06,-0.333333,4,3
4_2_19,7e-06,9,1.28571e+06,-0.333333,0,3
3_5_7,0.001313,3289,2.50495e+06,-0.111111,0,2
6_2_71,1e-05,12,1.2e+06,-0.333333,3,3
3_2_93,6e-06,6,1e+06,-0.333333,0,2
4_3_92,7.5e-05,133,1.77333e+06,-0.2,1,2
5_4_93,0.017327,27740,1.60097e+06,-0.142857,2,4
2_2_6,3e-06,5,1.66667e+06,-0.333333,1,1
2_3_66,8e-06,17,2.125e+06,-0.2,1,1
4_4_0,0.001226,2427,1.97961e+06,-0.142857,3,1
2_3_64,8e-06,17,2.125e+06,-0.2,1,1
2_3_63,8e-06,18,2.25e+06,-0.2,1,1
3_2_31,6e-06,6,1e+06,-0.333333,1,2
3_2_11,4e-06,4,1e+06,-0.333333,2,2
4_2_51,5e-06,7,1.4e+06,-0.333333,0,3
4_2_47,6e-06,8,1.33333e+06,-0.333333,2,3
5_4_15,0.008495,13170,1.55032e+06,-0.142857,4,4
3_2_74,6e-06,6,1e+06,-0.333333,2,2
5_4_33,0.020653,31765,1.53803e+06,-0.142857,0,0
3_2_5,5e-06,6,1.2e+06,-0.333333,2,2
4_2_20,6e-06,8,1.33333e+06,-0.333333,3,3
6_3_31,0.000195,293,1.50256e+06,-0.2,5,5
4_2_69,6e-06,8,1.33333e+06,-0.333333,3,3
2_2_60,3e-06,5,1.66667e+06,-0.333333,1,1
5_3_41,0.000133,213,1.6015e+06,-0.2,3,4
2_2_0,3e-06,5,1.66667e+06,-0.333333,1,1
5_4_64,0.005999,10110,1.68528e+06,-0.142857,4,4
4_3_81,6.2e-05,123,1.98387e+06,-0.2,1,2
4_5_80,0.017725,36828,2.07774e+06,-0.111111,0,2
3_4_77,0.000174,447,2.56897e+06,-0.142857,2,2
4_3_61,6.1e-05,129,2.11475e+06,-0.2,2,3
2_2_76,2e-06,3,1.5e+06,-0.333333,0,0
2_2_4,2e-06,3,1.5e+06,-0.333333,0,0
4_2_36,7e-06,9,1.28571e+06,-0.333333,0,0
4_4_54,0.00107,2169,2.0271e+06,-0.142857,3,2
4_3_36,6.2e-05,127,2.04839e+06,-0.2,3,3
4_5_53,0.026173,51647,1.97329e+06,-0.111111,1,3
4_4_37,0.000586,1325,2.26109e+06,-0.142857,0,3
3_4_80,0.00017,450,2.64706e+06,-0.142857,2,2
2_3_83,8e-06,18,2.25e+06,-0.2,0,0
2_2_12,3e-06,5,1.66667e+06,-0.333333,0,0
3_5_99,0.001192,3262,2.73658e+06,-0.111111,2,2
3_2_8,7e-06,7,1e+06,-0.333333,1,0
3_4_28,0.000192,454,2.36458e+06,-0.142857,2,2
3_5_90,0.001279,3262,2.55043e+06,-0.111111,2,2
3_3_37,2.7e-05,60,2.22222e+06,-0.2,0,0
4_4_26,0.001212,2437,2.01073e+06,-0.142857,0,3
5_4_51,0.009774,16245,1.66206e+06,-0.142857,0,4
3_5_27,0.001258,3262,2.593e+06,-0.111111,2,2
4_5_14,0.023494,47695,2.03009e+06,-0.111111,2,3
3_3_12,3.4e-05,75,2.20588e+06,-0.2,2,2
4_2_74,6e-06,8,1.33333e+06,-0.333333,1,0
5_2_82,8e-06,11,1.375e+06,-0.333333,1,4
2_2_99,3e-06,3,1e+06,-0.333333,1,0
2_3_18,9e-06,18,2e+06,-0.2,0,0
4_2_7,7e-06,9,1.28571e+06,-0.333333,0,0
3_4_46,0.000192,447,2.32812e+06,-0.142857,2,2
2_2_20,3e-06,3,1e+06,-0.333333,0,0
6_3_24,0.000202,279,1.38119e+06,-0.2,0,5
2_3_77,9e-06,17,1.88889e+06,-0.2,0,0
5_2_53,1e-05,11,1.1e+06,-0.333333,0,4
2_3_25,9e-06,17,1.88889e+06,-0.2,0,0
5_2_65,9e-06,10,1.11111e+06,-0.333333,3,4
5_2_30,8e-06,10,1.25e+06,-0.333333,1,4
5_2_22,9e-06,11,1.22222e+06,-0.333333,3,4
4_3_56,6.4e-05,120,1.875e+06,-0.2,3,3
5_3_36,0.000161,215,1.3354e+06,-0.2,2,4
6_3_42,0.000221,297,1.34389e+06,-0.2,5,4
5_3_68,0.00013,197,1.51538e+06,-0.2,2,3
6_2_56,1.1e-05,13,1.18182e+06,-0.333333,2,4
3_5_31,0.001342,3259,2.42846e+06,-0.111111,2,2
6_3_74,0.000223,297,1.33184e+06,-0.2,0,0
3_5_53,0.001383,3298,2.38467e+06,-0.111111,2,2
5_2_41,8e-06,10,1.25e+06,-0.333333,4,4
3_2_61,6e-06,6,1e+06,-0.333333,1,0
3_5_16,0.001353,3267,2.41463e+06,-0.111111,2,2
3_2_62,5e-06,4,800000,-0.333333,2,0
6_2_7,1.1e-05,12,1.09091e+06,-0.333333,0,4
3_2_60,7e-06,7,1e+06,-0.333333,1,0
4_3_88,7e-05,124,1.77143e+06,-0.2,2,3
4_2_95,6e-06,7,1.16667e+06,-0.333333,1,0
4_3_77,6.6e-05,121,1.83333e+06,-0.2,2,3
4_3_19,6.4e-05,119,1.85938e+06,-0.2,1,3
2_3_0,9e-06,18,2e+06,-0.2,0,0
4_4_28,0.001345,2395,1.78067e+06,-0.142857,3,3
4_5_43,0.019587,36770,1.87727e+06,-0.111111,3,3
4_3_70,7.9e-05,135,1.70886e+06,-0.2,1,3
3_4_8,0.000188,443,2.35638e+06,-0.142857,0,0
6_3_4,0.000195,261,1.33846e+06,-0.2,3,5
3_3_70,3.1e-05,61,1.96774e+06,-0.2,0,0
3_3_78,2.6e-05,56,2.15385e+06,-0.2,1,0
4_3_17,6.4e-05,120,1.875e+06,-0.2,3,3
5_4_24,0.002052,3281,1.59893e+06,-0.142857,1,3
6_2_63,8e-06,10,1.25e+06,-0.333333,5,5
4_3_68,3.3e-05,65,1.9697e+06,-0.2,0,0
3_2_65,5e-06,4,800000,-0.333333,2,0
6_2_12,1.1e-05,13,1.18182e+06,-0.333333,0,4
3_4_2,0.000183,435,2.37705e+06,-0.142857,0,0
3_4_70,0.000182,433,2.37912e+06,-0.142857,0,0
3_4_95,8.6e-05,218,2.53488e+06,-0.142857,0,0
5_3_52,0.000132,199,1.50758e+06,-0.2,1,3
6_3_78,0.000215,289,1.34419e+06,-0.2,0,5
4_2_55,7e-06,9,1.28571e+06,-0.333333,0,0
4_2_75,7e-06,8,1.14286e+06,-0.333333,0,0
3_4_27,8.6e-05,218,2.53488e+06,-0.142857,0,0
4_2_61,6e-06,7,1.16667e+06,-0.333333,2,0
3_5_9,0.001346,3282,2.43834e+06,-0.111111,2,2
5_3_72,0.000124,195,1.57258e+06,-0.2,0,4
4_4_42,0.001303,2435,1.86876e+06,-0.142857,0,3
4_5_8,0.019477,36795,1.88915e+06,-0.111111,2,3
5_2_88,9e-06,11,1.22222e+06,-0.333333,2,4
4_5_11,0.023836,47744,2.00302e+06,-0.111111,2,3
3_2_44,5e-06,6,1.2e+06,-0.333333,1,0
4_2_72,5e-06,7,1.4e+06,-0.333333,0,0
4_2_3,6e-06,8,1.33333e+06,-0.333333,0,0
5_4_92,0.019044,32206,1.69114e+06,-0.142857,3,3
3_2_37,4e-06,4,1e+06,-0.333333,1,0
5_4_78,0.007552,12619,1.67095e+06,-0.142857,2,3
4_4_60,0.000921,2002,2.17372e+06,-0.142857,2,2
3_5_39,0.001209,3298,2.72787e+06,-0.111111,2,2
5_2_45,6e-06,9,1.5e+06,-0.333333,1,0
4_5_61,0.017215,36787,2.13692e+06,-0.111111,2,3
6_3_29,0.000187,291,1.55615e+06,-0.2,5,4
5_4_48,0.020923,34628,1.65502e+06,-0.142857,1,0
5_2_37,8e-06,11,1.375e+06,-0.333333,0,4
2_3_35,8e-06,17,2.125e+06,-0.2,0,0
6_3_30,0.000196,295,1.5051e+06,-0.2,3,4
3_3_95,2.6e-05,59,2.26923e+06,-0.2,1,0
5_4_63,0.013788,23632,1.71395e+06,-0.142857,3,3
2_2_31,3e-06,5,1.66667e+06,-0.333333,0,0
4_4_36,0.001193,2391,2.00419e+06,-0.142857,2,3
3_2_25,5e-06,6,1.2e+06,-0.333333,2,0
3_5_98,0.001191,3282,2.75567e+06,-0.111111,2,2
3_3_36,2.6e-05,59,2.26923e+06,-0.2,0,0
3_3_52,2.8e-05,61,2.17857e+06,-0.2,0,0
3_4_99,0.000165,433,2.62424e+06,-0.142857,0,0
4_2_28,7e-06,9,1.28571e+06,-0.333333,1,0
6_2_60,1e-05,13,1.3e+06,-0.333333,0,4
4_3_20,6.4e-05,125,1.95312e+06,-0.2,2,3
4_5_66,0.018083,36754,2.03252e+06,-0.111111,3,3
2_3_56,8e-06,17,2.125e+06,-0.2,0,0
3_3_99,2.6e-05,59,2.26923e+06,-0.2,0,0
6_2_11,9e-06,12,1.33333e+06,-0.333333,3,4
3_2_24,6e-06,6,1e+06,-0.333333,1,0
2_2_73,4e-06,5,1.25e+06,-0.333333,0,0
5_2_67,9e-06,11,1.22222e+06,-0.333333,0,4
3_4_87,0.000189,454,2.40212e+06,-0.142857,2,2
5_2_68,9e-06,10,1.11111e+06,-0.333333,4,4
3_3_24,2.5e-05,56,2.24e+06,-0.2,0,0
4_5_42,0.010824,21395,1.97663e+06,-0.111111,3,2
3_5_73,0.001318,3285,2.49241e+06,-0.111111,2,2
3_4_67,8.4e-05,218,2.59524e+06,-0.142857,0,0
3_4_66,0.000183,434,2.37158e+06,-0.142857,1,0
3_2_32,7e-06,7,1e+06,-0.333333,1,0
3_2_13,6e-06,6,1e+06,-0.333333,0,0
5_4_81,0.007625,12227,1.60354e+06,-0.142857,3,4
3_2_77,7e-06,7,1e+06,-0.333333,1,0
4_3_91,7.3e-05,125,1.71233e+06,-0.2,2,3
3_5_6,0.001305,3282,2.51494e+06,-0.111111,2,2
5_4_87,0.008898,14236,1.59991e+06,-0.142857,0,4
3_4_83,0.000186,450,2.41935e+06,-0.142857,2,2
6_2_77,1.1e-05,13,1.18182e+06,-0.333333,1,4
5_4_21,0.0077,12146,1.5774e+06,-0.142857,0,4
6_2_32,9e-06,11,1.22222e+06,-0.333333,4,4
2_2_65,2e-06,3,1.5e+06,-0.333333,0,0
5_4_82,0.014682,22035,1.50082e+06,-0.142857,1,4
4_2_45,4e-06,5,1.25e+06,-0.333333,3,0
4_2_31,1e-05,9,900000,-0.333333,1,0
2_3_47,1e-05,17,1.7e+06,-0.2,0,0
4_3_15,6.9e-05,119,1.72464e+06,-0.2,2,3
3_5_62,0.001456,3267,2.24382e+06,-0.111111,2,2
2_2_96,3e-06,3,1e+06,-0.333333,1,0
3_2_20,8e-06,7,875000,-0.333333,0,0
3_5_30,0.001437,3262,2.27001e+06,-0.111111,2,2
3_3_44,3.2e-05,60,1.875e+06,-0.2,1,0
2_3_28,1e-05,17,1.7e+06,-0.2,0,0
3_2_29,5e-06,4,800000,-0.333333,2,0
5_3_62,0.000144,199,1.38194e+06,-0.2,4,4
6_2_86,1.2e-05,12,1e+06,-0.333333,3,4
2_2_75,4e-06,5,1.25e+06,-0.333333,0,0
3_3_34,4.2e-05,75,1.78571e+06,-0.2,2,2
4_4_35,0.001396,2435,1.74427e+06,-0.142857,0,3
6_2_21,1.2e-05,12,1e+06,-0.333333,2,4
4_4_90,0.00098,1755,1.79082e+06,-0.142857,0,3
6_2_80,1.2e-05,13,1.08333e+06,-0.333333,0,4
5_3_4,0.000139,197,1.41727e+06,-0.2,3,3
3_3_7,3.2e-05,61,1.90625e+06,-0.2,0,0
5_2_81,1e-05,11,1.1e+06,-0.333333,2,4
3_3_41,3.2e-05,61,1.90625e+06,-0.2,0,0
3_2_36,7e-06,7,1e+06,-0.333333,0,0
2_3_91,9e-06,17,1.88889e+06,-0.2,0,0
3_4_18,0.000209,454,2.17225e+06,-0.142857,2,2
4_5_25,0.020731,36801,1.77517e+06,-0.111111,2,3
3_5_54,0.001276,3282,2.5721e+06,-0.111111,2,2
2_3_88,8e-06,18,2.25e+06,-0.2,0,0
3_3_67,2.8e-05,61,2.17857e+06,-0.2,0,0
5_3_27,0.000127,203,1.59843e+06,-0.2,3,4
4_3_74,3.2e-05,66,2.0625e+06,-0.2,0,0
3_2_80,6e-06,6,1e+06,-0.333333,0,0
3_3_86,2.8e-05,60,2.14286e+06,-0.2,0,0
2_3_45,8e-06,17,2.125e+06,-0.2,0,0
6_3_16,0.000191,279,1.46073e+06,-0.2,0,5
4_3_9,6.3e-05,128,2.03175e+06,-0.2,2,3
6_3_73,0.000195,283,1.45128e+06,-0.2,5,4
2_2_71,2e-06,3,1.5e+06,-0.333333,1,0
4_5_12,0.013779,28950,2.10102e+06,-0.111111,3,2
4_5_33,0.02254,47667,2.11477e+06,-0.111111,1,3
2_2_33,3e-06,3,1e+06,-0.333333,1,0
3_2_96,6e-06,7,1.16667e+06,-0.333333,0,0
2_2_84,3e-06,5,1.66667e+06,-0.333333,0,0
4_5_92,0.02534,51658,2.0386e+06,-0.111111,1,3
5_2_60,7e-06,10,1.42857e+06,-0.333333,4,4
4_3_60,6.1e-05,125,2.04918e+06,-0.2,2,3
3_2_0,5e-06,6,1.2e+06,-0.333333,1,0
5_4_91,0.017103,29198,1.70719e+06,-0.142857,0,4
5_2_1,8e-06,10,1.25e+06,-0.333333,4,4
5_3_57,0.000124,207,1.66935e+06,-0.2,1,4
2_3_10,9e-06,18,2e+06,-0.2,0,0
4_5_15,0.017246,36813,2.13458e+06,-0.111111,2,3
4_5_4,0.022487,47765,2.12412e+06,-0.111111,2,3
4_2_90,6e-06,8,1.33333e+06,-0.333333,2,0
3_2_50,5e-06,6,1.2e+06,-0.333333,1,0
4_2_58,5e-06,7,1.4e+06,-0.333333,3,0
5_2_77,8e-06,11,1.375e+06,-0.333333,0,4
6_2_24,9e-06,12,1.33333e+06,-0.333333,5,4
4_2_59,6e-06,8,1.33333e+06,-0.333333,2,0
4_4_47,0.000497,1138,2.28974e+06,-0.142857,0,3
2_3_24,8e-06,17,2.125e+06,-0.2,0,0
4_5_63,0.022356,47676,2.13258e+06,-0.111111,2,3
4_4_48,0.001148,2429,2.11585e+06,-0.142857,2,2
3_4_69,0.000168,447,2.66071e+06,-0.142857,2,2
2_2_61,2e-06,3,1.5e+06,-0.333333,0,0
3_3_72,3.4e-05,75,2.20588e+06,-0.2,2,2
4_4_86,0.000175,437,2.49714e+06,-0.142857,0,0
2_2_1,3e-06,5,1.66667e+06,-0.333333,0,0
2_3_2,8e-06,17,2.125e+06,-0.2,0,0
2_3_87,8e-06,17,2.125e+06,-0.2,0,0
4_2_21,5e-06,8,1.6e+06,-0.333333,3,0
5_3_32,0.000134,215,1.60448e+06,-0.2,3,4
3_2_92,6e-06,6,1e+06,-0.333333,0,0
3_3_77,2.7e-05,60,2.22222e+06,-0.2,1,0
3_2_55,8e-06,7,875000,-0.333333,1,0
2_3_84,8e-06,18,2.25e+06,-0.2,0,0
4_3_30,7.1e-05,135,1.90141e+06,-0.2,1,3
5_3_15,0.000119,197,1.65546e+06,-0.2,3,3
2_3_98,8e-06,18,2.25e+06,-0.2,0,0
4_4_19,0.000489,1054,2.15542e+06,-0.142857,0,3
5_3_3,0.000116,199,1.71552e+06,-0.2,3,3
4_3_69,5.9e-05,121,2.05085e+06,-0.2,3,3
3_3_56,2.8e-05,61,2.17857e+06,-0.2,0,0
3_3_26,2.6e-05,59,2.26923e+06,-0.2,0,0
6_2_16,1e-05,13,1.3e+06,-0.333333,0,4
3_2_16,6e-06,6,1e+06,-0.333333,1,0
2_2_89,2e-06,3,1.5e+06,-0.333333,1,0
2_3_21,8e-06,17,2.125e+06,-0.2,0,0
4_5_36,0.026951,51714,1.91882e+06,-0.111111,1,3
4_2_56,6e-06,7,1.16667e+06,-0.333333,0,0
4_2_60,5e-06,7,1.4e+06,-0.333333,1,0
4_5_32,0.018202,36753,2.01917e+06,-0.111111,2,3
4_3_34,7.4e-05,135,1.82432e+06,-0.2,3,2
5_4_89,0.019024,30550,1.60587e+06,-0.142857,0,0
4_3_27,2.9e-05,66,2.27586e+06,-0.2,0,0
4_4_63,0.001267,2455,1.93765e+06,-0.142857,2,3
2_2_55,4e-06,5,1.25e+06,-0.333333,0,0
6_3_67,0.000177,275,1.55367e+06,-0.2,1,5
2_2_67,2e-06,3,1.5e+06,-0.333333,0,0
3_3_5,2.2e-05,55,2.5e+06,-0.2,1,0
3_2_76,5e-06,6,1.2e+06,-0.333333,0,0
3_5_2,0.001184,3259,2.75253e+06,-0.111111,2,2
6_2_28,9e-06,12,1.33333e+06,-0.333333,5,4
3_4_62,0.000172,454,2.63953e+06,-0.142857,2,2
4_4_82,0.000731,1543,2.11081e+06,-0.142857,3,2
5_3_75,0.000118,199,1.68644e+06,-0.2,3,4
3_5_83,0.001204,3285,2.72841e+06,-0.111111,2,2
4_3_38,5.7e-05,119,2.08772e+06,-0.2,1,3
4_4_89,0.000952,2000,2.10084e+06,-0.142857,3,2
6_3_0,0.000196,289,1.47449e+06,-0.2,5,4
4_4_67,0.000599,1325,2.21202e+06,-0.142857,2,3
2_3_80,8e-06,18,2.25e+06,-0.2,0,0
6_2_13,1e-05,13,1.3e+06,-0.333333,0,4
4_4_77,0.001217,2395,1.96795e+06,-0.142857,3,3
5_2_8,7e-06,10,1.42857e+06,-0.333333,2,4
5_2_16,8e-06,11,1.375e+06,-0.333333,3,4
6_2_96,9e-06,12,1.33333e+06,-0.333333,0,4
5_2_6,8e-06,10,1.25e+06,-0.333333,1,4
5_4_18,0.007119,12225,1.71724e+06,-0.142857,2,4
6_3_98,0.0002,297,1.485e+06,-0.2,1,5
4_4_39,0.000951,2007,2.11041e+06,-0.142857,3,2
2_3_41,8e-06,18,2.25e+06,-0.2,0,0
5_2_75,8e-06,11,1.375e+06,-0.333333,2,4
4_2_53,6e-06,7,1.16667e+06,-0.333333,2,0
2_2_48,3e-06,5,1.66667e+06,-0.333333,0,0
4_5_93,0.025952,51636,1.98967e+06,-0.111111,1,3
5_4_9,0.019142,31773,1.65986e+06,-0.142857,0,3
4_2_67,6e-06,8,1.33333e+06,-0.333333,2,0
5_3_1,0.000116,199,1.71552e+06,-0.2,2,0
5_2_93,6e-06,9,1.5e+06,-0.333333,0,0
5_4_52,0.004122,7132,1.73023e+06,-0.142857,0,0
3_5_87,0.001197,3276,2.73684e+06,-0.111111,0,0
3_3_79,2.2e-05,55,2.5e+06,-0.2,0,0
5_4_76,0.004172,7772,1.8629e+06,-0.142857,2,0
2_2_74,3e-06,5,1.66667e+06,-0.333333,0,0
3_4_33,0.000172,454,2.63953e+06,-0.142857,0,0
3_2_35,4e-06,4,1e+06,-0.333333,2,0
5_2_83,8e-06,11,1.375e+06,-0.333333,2,0
2_2_19,2e-06,3,1.5e+06,-0.333333,1,0
5_4_40,0.008438,14282,1.69258e+06,-0.142857,0,0
5_2_34,8e-06,11,1.375e+06,-0.333333,1,0
3_3_2,2.6e-05,60,2.30769e+06,-0.2,0,0
6_2_73,9e-06,12,1.33333e+06,-0.333333,0,0
4_4_84,0.000739,1552,2.10014e+06,-0.142857,0,0
4_2_22,6e-06,9,1.5e+06,-0.333333,0,0
4_4_57,0.001185,2400,2.02532e+06,-0.142857,0,0
5_2_39,7e-06,10,1.42857e+06,-0.333333,0,0
4_2_2,6e-06,8,1.33333e+06,-0.333333,1,0
2_3_38,8e-06,17,2.125e+06,-0.2,0,0
2_3_67,8e-06,17,2.125e+06,-0.2,0,0
3_4_58,0.000172,449,2.61047e+06,-0.142857,0,0
3_4_65,0.000158,432,2.73418e+06,-0.142857,0,0
5_3_31,0.000122,206,1.68852e+06,-0.2,1,0
4_5_56,0.022528,47766,2.12029e+06,-0.111111,0,0
4_4_3,0.000804,1757,2.18532e+06,-0.142857,0,0
2_2_36,3e-06,5,1.66667e+06,-0.333333,0,0
3_4_93,7.6e-05,218,2.86842e+06,-0.142857,0,0
3_4_78,0.000164,442,2.69512e+06,-0.142857,0,0
2_3_19,8e-06,17,2.125e+06,-0.2,0,0
5_2_72,7e-06,10,1.42857e+06,-0.333333,4,0
4_3_80,6.9e-05,135,1.95652e+06,-0.2,0,0
5_3_64,0.000117,199,1.70085e+06,-0.2,0,0
4_4_79,0.000627,1306,2.08293e+06,-0.142857,0,0
4_2_54,6e-06,9,1.5e+06,-0.333333,0,0
3_4_34,7.5e-05,218,2.90667e+06,-0.142857,0,0
4_5_95,0.0172,36794,2.13919e+06,-0.111111,0,0
3_4_48,0.000162,435,2.68519e+06,-0.142857,0,0
4_3_16,2.9e-05,65,2.24138e+06,-0.2,0,0
5_3_9,9.2e-05,162,1.76087e+06,-0.2,0,0
3_4_35,0.000173,449,2.59538e+06,-0.142857,0,0
3_4_23,0.00017,450,2.64706e+06,-0.142857,0,0
4_3_42,5.7e-05,121,2.12281e+06,-0.2,1,0
4_2_15,5e-06,7,1.4e+06,-0.333333,1,0
6_2_68,6e-06,9,1.5e+06,-0.333333,0,0
5_3_7,0.000129,213,1.65116e+06,-0.2,1,0
2_3_12,8e-06,18,2.25e+06,-0.2,0,0
3_5_12,0.001186,3273,2.7597e+06,-0.111111,0,0
4_3_39,6.2e-05,125,2.01613e+06,-0.2,0,0
2_3_69,8e-06,17,2.125e+06,-0.2,0,0
2_2_5,3e-06,5,1.66667e+06,-0.333333,0,0
5_2_27,9e-06,11,1.22222e+06,-0.333333,1,0
3_2_2,7e-06,7,1e+06,-0.333333,0,0
4_5_0,0.025928,51643,1.99178e+06,-0.111111,0,0
2_2_92,2e-06,3,1.5e+06,-0.333333,1,0
6_2_4,9e-06,12,1.33333e+06,-0.333333,3,0
2_2_42,3e-06,5,1.66667e+06,-0.333333,0,0
2_2_85,2e-06,3,1.5e+06,-0.333333,1,0
3_4_44,0.00016,435,2.71875e+06,-0.142857,0,0
2_3_23,8e-06,18,2.25e+06,-0.2,0,0
2_3_49,8e-06,17,2.125e+06,-0.2,0,0
4_3_10,6.8e-05,135,1.98529e+06,-0.2,0,0
3_4_45,0.000161,433,2.68944e+06,-0.142857,0,0
4_2_73,5e-06,7,1.4e+06,-0.333333,3,0
2_3_78,8e-06,17,2.125e+06,-0.2,0,0
3_5_37,0.001222,3276,2.68085e+06,-0.111111,0,0
3_4_9,0.000172,441,2.56395e+06,-0.142857,0,0
5_2_25,9e-06,11,1.22222e+06,-0.333333,1,0
4_3_23,7.3e-05,135,1.84932e+06,-0.2,1,0
6_3_3,0.000207,297,1.43478e+06,-0.2,5,3
3_3_53,2.5e-05,56,2.24e+06,-0.2,0,0
5_4_6,0.004817,8014,1.66369e+06,-0.142857,1,0
3_2_97,5e-06,6,1.2e+06,-0.333333,1,0
6_3_50,0.00013,198,1.52308e+06,-0.2,0,0
4_5_83,0.02363,47696,2.01845e+06,-0.111111,0,0
3_5_45,0.001197,3281,2.74102e+06,-0.111111,0,0
4_4_8,0.001149,2428,2.11314e+06,-0.142857,0,0
5_2_23,6e-06,8,1.33333e+06,-0.333333,0,0
4_5_86,0.025324,51677,2.04063e+06,-0.111111,0,0
5_4_73,0.007644,13169,1.72279e+06,-0.142857,2,0
4_4_69,0.001263,2449,1.93903e+06,-0.142857,1,0
4_4_92,0.0008,1760,2.2e+06,-0.142857,2,0
5_4_94,0.017007,29198,1.71682e+06,-0.142857,1,0
5_4_59,0.016862,29190,1.73111e+06,-0.142857,0,0
3_5_17,0.001232,3273,2.65666e+06,-0.111111,0,0
4_5_30,0.013135,28970,2.20556e+06,-0.111111,0,0
3_5_67,0.001199,3302,2.75396e+06,-0.111111,0,0
4_4_72,0.000806,1763,2.18734e+06,-0.142857,0,0
3_4_73,0.000158,432,2.73418e+06,-0.142857,1,0
3_2_75,5e-06,6,1.2e+06,-0.333333,0,0
6_2_82,1e-05,13,1.3e+06,-0.333333,2,0
6_2_49,1e-05,13,1.3e+06,-0.333333,0,0
5_3_78,0.000115,199,1.73043e+06,-0.2,0,0
3_4_88,0.00017,447,2.62941e+06,-0.142857,0,0
4_3_24,6.9e-05,135,1.95652e+06,-0.2,0,0
2_2_68,3e-06,5,1.66667e+06,-0.333333,0,0
3_4_43,0.000175,435,2.48571e+06,-0.142857,0,0
3_3_30,2.6e-05,59,2.26923e+06,-0.2,0,0
4_4_9,0.00062,1323,2.13387e+06,-0.142857,0,0
5_4_56,0.006044,9917,1.6408e+06,-0.142857,0,0
3_3_43,2.4e-05,55,2.29167e+06,-0.2,0,0
4_3_93,6.6e-05,125,1.89394e+06,-0.2,0,0
2_2_27,4e-06,5,1.25e+06,-0.333333,0,0
6_2_30,1e-05,12,1.2e+06,-0.333333,1,0
4_4_98,0.001341,2454,1.82998e+06,-0.142857,0,0
4_4_94,0.000792,1548,1.95455e+06,-0.142857,0,0
3_4_16,0.000186,457,2.45699e+06,-0.142857,0,0
4_4_49,0.001264,2395,1.89478e+06,-0.142857,0,0
